Tamaño,Base_de_datos,Ejecucion,Tiempo_simple_ms,Tiempo_agregado_ms,Throughput_req_s,CPU_%,Memoria_MiB,IO_MB_s,Almacenamiento_MB
Medium,Influx,results_20251121_190640,35085.0,2555.0,0.7437156031533542,24.174468085106383,2102.0425531914884,3.024200000000001,433.0
Medium,Influx,results_20251121_190745,23470.0,4066.0,0.7570022710068129,24.571052631578947,2286.3315789473677,3.748974358974359,433.0
Medium,Influx,results_20251121_190838,27614.0,2742.0,0.6481301445330222,26.94634146341464,2162.6097560975613,3.6384999999999996,433.0
Medium,Influx,results_20251121_190937,37805.0,3045.0,0.612294881214793,23.544,2271.6980000000003,3.1059615384615387,433.0
Medium,Influx,results_20251121_191047,22677.0,4879.0,0.5290725358446643,27.482926829268298,1995.1317073170733,2.9990476190476194,433.0
Medium,Influx,results_20251121_191146,30651.0,5083.0,0.7496813854112002,24.058139534883722,2248.502325581395,3.167446808510638,433.0
Medium,Influx,results_20251121_191248,24633.0,4151.0,0.7180812868016659,27.17948717948718,2127.748717948718,3.53625,433.0
Medium,Timescale,results_20251121_163039,2200.0,3954.0,0.48267207259387973,18.808000000000003,2277.092,6.086785714285715,4403.2
Medium,Timescale,results_20251121_163119,2739.0,4019.0,0.4940711462450593,20.939285714285713,2249.932142857143,5.872068965517242,4403.2
Medium,Timescale,results_20251121_163158,2317.0,4222.0,0.4409559925919393,21.59666666666667,2322.2,5.724333333333334,4403.2
Medium,Timescale,results_20251121_163240,2687.0,3995.0,0.49860390905464697,20.225925925925928,2052.892592592593,6.53107142857143,4403.2
Medium,Timescale,results_20251121_163321,2502.0,4248.0,0.4754885645000238,23.15,2126.880769230769,5.7192307692307685,4403.2
Medium,Timescale,results_20251121_163401,3503.0,3940.0,0.48118564142046,19.77142857142857,2294.0642857142857,6.118620689655172,4403.2
Medium,Timescale,results_20251121_163442,3223.0,5153.0,0.4769399532598846,22.282758620689652,2091.9999999999995,8.178,4403.2
Medium,Timescale,results_20251121_163525,3039.0,5150.0,0.5051015254066068,22.0896551724138,2066.675862068966,6.940689655172414,4403.2
Medium,Timescale,results_20251121_163606,3147.0,4278.0,0.4987531172069825,23.685714285714283,2243.925,6.57551724137931,4403.2
Medium,Timescale,results_20251121_163646,2456.0,3986.0,0.47366426676771506,19.092857142857138,2293.9714285714285,5.925862068965517,4403.2
Medium,Timescale,results_20251121_163726,2790.0,4130.0,0.46840601433322404,20.54642857142857,2041.2357142857143,5.958275862068966,4403.2
Medium,Timescale,results_20251121_163807,2264.0,4037.0,0.5059960532307848,21.157692307692308,1971.188461538462,6.540000000000001,4403.2
Medium,Timescale,results_20251121_163846,2631.0,4197.0,0.481139337952271,21.7,2255.9,6.014137931034482,4403.2
Medium,Timescale,results_20251121_163926,3016.0,4810.0,0.42614847012699225,21.066666666666666,2127.186666666666,5.520967741935484,4403.2
Medium,Timescale,results_20251121_164010,2420.0,4285.0,0.44541445815331165,23.16296296296296,2108.248148148148,5.877586206896552,4403.2
Medium,Timescale,results_20251121_164052,3275.0,5525.0,0.3574875773066886,22.873529411764707,2260.1558823529413,5.127222222222222,4403.2
Medium,Timescale,results_20251121_164143,2729.0,4898.0,0.5150656708730363,21.585185185185182,2223.5222222222224,5.711428571428571,4403.2
Medium,Timescale,results_20251121_164222,2560.0,4278.0,0.41240514681623225,19.361290322580647,2370.783870967742,5.0909375,4403.2
